invoiceno,customer_id,transaction_time,country,transaction_amount,total_quantity,unique_products,line_count,is_return,transaction_hour,is_night_transaction,is_unknown_customer,customer_avg_amount,customer_std_amount,customer_transaction_count,previous_transaction_time,minutes_since_previous_transaction,high_amount_flag,high_quantity_flag,rapid_transaction_flag,amount_deviation_flag,risk_score,risk_level,is_suspicious,risk_reason
541431,12346.0,2011-01-18 10:01:00,United Kingdom,77183.6,74215,1,1,0,10,0,0,77183.6,0.0,2,,999999.0,1,1,0,0,45,medium,0,unusually high amount; unusually high quantity
C541433,12346.0,2011-01-18 10:17:00,United Kingdom,77183.6,74215,1,1,1,10,0,0,77183.6,0.0,2,2011-01-18 10:01:00,16.0,1,1,0,0,45,medium,0,unusually high amount; unusually high quantity
537626,12347.0,2010-12-07 14:57:00,Iceland,711.79,319,31,31,0,14,0,0,615.7142857142857,341.07078946836157,7,,999999.0,0,0,0,0,0,low,0,no major risk indicator
542237,12347.0,2011-01-26 14:30:00,Iceland,475.39,315,29,29,0,14,0,0,615.7142857142857,341.07078946836157,7,2010-12-07 14:57:00,71973.0,0,0,0,0,0,low,0,no major risk indicator
549222,12347.0,2011-04-07 10:43:00,Iceland,636.25,483,24,24,0,10,0,0,615.7142857142857,341.07078946836157,7,2011-01-26 14:30:00,102013.0,0,0,0,0,0,low,0,no major risk indicator
556201,12347.0,2011-06-09 13:01:00,Iceland,382.52,196,18,18,0,13,0,0,615.7142857142857,341.07078946836157,7,2011-04-07 10:43:00,90858.0,0,0,0,0,0,low,0,no major risk indicator
562032,12347.0,2011-08-02 08:48:00,Iceland,584.9100000000001,277,22,22,0,8,0,0,615.7142857142857,341.07078946836157,7,2011-06-09 13:01:00,77507.0,0,0,0,0,0,low,0,no major risk indicator
573511,12347.0,2011-10-31 12:25:00,Iceland,1294.32,676,47,47,0,12,0,0,615.7142857142857,341.07078946836157,7,2011-08-02 08:48:00,129817.0,0,0,0,0,0,low,0,no major risk indicator
581180,12347.0,2011-12-07 15:52:00,Iceland,224.82,192,11,11,0,15,0,0,615.7142857142857,341.07078946836157,7,2011-10-31 12:25:00,53487.0,0,0,0,0,0,low,0,no major risk indicator
539318,12348.0,2010-12-16 19:09:00,Finland,892.8,1254,13,17,0,19,0,0,449.31,301.1599183158343,4,,999999.0,0,0,0,0,0,low,0,no major risk indicator
541998,12348.0,2011-01-25 10:42:00,Finland,227.44,601,6,6,0,10,0,0,449.31,301.1599183158343,4,2010-12-16 19:09:00,57093.0,0,0,0,0,0,low,0,no major risk indicator
548955,12348.0,2011-04-05 10:47:00,Finland,367.0,269,5,5,0,10,0,0,449.31,301.1599183158343,4,2011-01-25 10:42:00,100805.0,0,0,0,0,0,low,0,no major risk indicator
568172,12348.0,2011-09-25 13:13:00,Finland,310.0,217,3,3,0,13,0,0,449.31,301.1599183158343,4,2011-04-05 10:47:00,249266.0,0,0,0,0,0,low,0,no major risk indicator
577609,12349.0,2011-11-21 09:51:00,Italy,1757.55,631,73,73,0,9,0,0,1757.55,0.0,1,,999999.0,0,0,0,0,0,low,0,no major risk indicator
543037,12350.0,2011-02-02 16:01:00,Norway,334.4,197,17,17,0,16,0,0,334.4,0.0,1,,999999.0,0,0,0,0,0,low,0,no major risk indicator
544156,12352.0,2011-02-16 12:33:00,Norway,296.5,98,15,15,0,12,0,0,315.1518181818182,208.81969341123846,11,,999999.0,0,0,0,0,0,low,0,no major risk indicator
545323,12352.0,2011-03-01 14:57:00,Norway,144.35,26,5,5,0,14,0,0,315.1518181818182,208.81969341123846,11,2011-02-16 12:33:00,18864.0,0,0,0,0,0,low,0,no major risk indicator
C545329,12352.0,2011-03-01 15:47:00,Norway,463.8,2,1,2,1,15,0,0,315.1518181818182,208.81969341123846,11,2011-03-01 14:57:00,50.0,0,0,0,0,0,low,0,no major risk indicator
C545330,12352.0,2011-03-01 15:49:00,Norway,376.5,1,1,1,1,15,0,0,315.1518181818182,208.81969341123846,11,2011-03-01 15:47:00,2.0,0,0,1,0,25,medium,0,rapid repeat transaction
545332,12352.0,2011-03-01 15:52:00,Norway,840.3,3,1,3,0,15,0,0,315.1518181818182,208.81969341123846,11,2011-03-01 15:49:00,3.0,0,0,1,0,25,medium,0,rapid repeat transaction
546869,12352.0,2011-03-17 16:00:00,Norway,120.33,63,7,7,0,16,0,0,315.1518181818182,208.81969341123846,11,2011-03-01 15:52:00,23048.0,0,0,0,0,0,low,0,no major risk indicator
C547388,12352.0,2011-03-22 16:07:00,Norway,120.33,63,7,7,1,16,0,0,315.1518181818182,208.81969341123846,11,2011-03-17 16:00:00,7207.0,0,0,0,0,0,low,0,no major risk indicator
547390,12352.0,2011-03-22 16:08:00,Norway,160.33,64,8,8,0,16,0,0,315.1518181818182,208.81969341123846,11,2011-03-22 16:07:00,1.0,0,0,1,0,25,medium,0,rapid repeat transaction
567505,12352.0,2011-09-20 14:34:00,Norway,366.25,103,18,18,0,14,0,0,315.1518181818182,208.81969341123846,11,2011-03-22 16:08:00,261986.0,0,0,0,0,0,low,0,no major risk indicator
568699,12352.0,2011-09-28 14:58:00,Norway,266.25,52,14,14,0,14,0,0,315.1518181818182,208.81969341123846,11,2011-09-20 14:34:00,11544.0,0,0,0,0,0,low,0,no major risk indicator
574275,12352.0,2011-11-03 14:37:00,Norway,311.73,127,15,15,0,14,0,0,315.1518181818182,208.81969341123846,11,2011-09-28 14:58:00,51819.0,0,0,0,0,0,low,0,no major risk indicator
553900,12353.0,2011-05-19 17:47:00,Bahrain,89.0,20,4,4,0,17,0,0,89.0,0.0,1,,999999.0,0,0,0,0,0,low,0,no major risk indicator
550911,12354.0,2011-04-21 13:11:00,Spain,1079.4,530,58,58,0,13,0,0,1079.4,0.0,1,,999999.0,0,0,0,0,0,low,0,no major risk indicator
552449,12355.0,2011-05-09 13:49:00,Bahrain,459.4,240,13,13,0,13,0,0,459.4,0.0,1,,999999.0,0,0,0,0,0,low,0,no major risk indicator
541430,12356.0,2011-01-18 09:50:00,Portugal,2271.62,1216,36,36,0,9,0,0,937.1433333333333,1174.8942498937226,3,,999999.0,0,0,0,0,0,low,0,no major risk indicator
549435,12356.0,2011-04-08 12:33:00,Portugal,481.46000000000004,370,21,21,0,12,0,0,937.1433333333333,1174.8942498937226,3,2011-01-18 09:50:00,115363.0,0,0,0,0,0,low,0,no major risk indicator
576895,12356.0,2011-11-17 08:40:00,Portugal,58.349999999999994,5,2,2,0,8,0,0,937.1433333333333,1174.8942498937226,3,2011-04-08 12:33:00,320887.0,0,0,0,0,0,low,0,no major risk indicator
574740,12357.0,2011-11-06 16:07:00,Switzerland,6207.67,2708,131,131,0,16,0,0,6207.67,0.0,1,,999999.0,1,1,0,0,45,medium,0,unusually high amount; unusually high quantity
559707,12358.0,2011-07-12 10:04:00,Austria,484.86,100,12,12,0,10,0,0,584.03,140.2475589805399,2,,999999.0,0,0,0,0,0,low,0,no major risk indicator
581232,12358.0,2011-12-08 10:26:00,Austria,683.2,148,7,7,0,10,0,0,584.03,140.2475589805399,2,2011-07-12 10:04:00,214582.0,0,0,0,0,0,low,0,no major risk indicator
540946,12359.0,2011-01-12 12:43:00,Cyprus,547.5,144,16,16,0,12,0,0,1072.8466666666666,1089.5714728216167,6,,999999.0,0,0,0,0,0,low,0,no major risk indicator
